67892368 16
67892384 16
67892400 16
67892416 16
67892672 56
67892680 8
67892688 8
67892696 8
67892704 8
67892712 8
67892736 56
67892792 56
67892848 56
67892904 56
67892960 56
67893016 56
67893072 56
67895696 160
67895704 160
67895856 80
67895864 80
67895936 168
67895944 168
67896104 160
67896112 160
67896176 16
67896192 16
67896208 16
67896224 16
67896240 16
67896256 16
67896264 48
67896272 48
67896288 16
67896304 16
67896312 80
67896320 80
67896336 16
67896352 16
67896368 16
67896384 16
67896392 56
67896400 56
67896416 16
67896432 16
67896448 168
67896456 168
67896464 16
67896480 16
67896496 16
67896512 16
67896528 16
67896544 16
67896560 16
67896576 16
67896592 16
67896608 16
67896616 152
67896624 152
67896640 16
67896656 16
67896672 16
67896688 16
67896704 16
67896720 16
67896736 16
67896752 16
67896768 32
67896776 32
67896784 16
67896800 120
67896808 120
67896816 16
67896832 16
67896848 16
67896864 16
67896880 16
67896896 16
67896920 120
67896928 120
67897040 16
67897048 16
67897056 32
67897064 32
67897088 24
67897096 24
67897104 56
67897112 88
67897120 88
67897200 24
67897208 24
67897224 16
67897232 16
67897240 8
67897248 8
67899888 16
67899904 16
67899920 16
67899936 16
67899952 16
67899968 16
67899984 16
67900000 16
67900352 16
67900368 2872
67912384 12040
67912392 2880
67915272 2848
67918120 24
67918144 2736
67920880 56
67920936 56
67921016 2872
67923888 2680
67924424 12080
67926568 32
67926600 2864
67929464 96
67929560 80
67931680 6224
67933016 1488
67934352 56
67934408 1320
67934504 616
67935120 1496
67935728 88
67935816 72
67936008 16
67936496 16
67936504 256
67936512 16
67936528 16
67936544 16
67936560 16
67936576 16
67936592 16
67936616 584
67936744 16
67936760 12064
67936848 56
67936856 8
67936864 8
67936872 8
67936880 8
67936888 8
67936912 56
67936968 56
67937024 56
67937080 56
67937136 56
67937192 56
67937200 624
67937248 56
67937824 64
67939152 56
67939160 8
67939168 8
67939176 8
67939184 8
67939192 8
67939200 8
67941072 2880
67943952 2848
67946800 24
67946824 2736
67948824 240
67949064 240
67949560 56
67949608 16
67949616 56
67949792 16
67950192 16
67950208 16
67950224 16
67950240 16
67950256 16
67950272 16
67950288 16
67950544 56
67950552 8
67950560 8
67950568 8
67950576 8
67950584 8
67950608 56
67950656 16
67950664 56
67950720 56
67950776 56
67950832 56
67950888 56
67950944 56
67952848 8
67953008 6224
67953016 6224
67959184 6104
67959232 6072
67959240 6072
67965288 200
67965304 192
67965312 192
67965488 6200
67965496 6168
67965504 6168
67969840 1168
67969984 72
67970056 168
67970224 120
67970344 32
67970376 104
67970480 48
67970528 176
67970704 144
67970832 1008
67970848 24
67970872 120
67970888 1048
67970992 96
67971008 1256
67971088 16
67971104 48
67971152 32
67971184 72
67971256 32
67971288 32
67971320 32
67971664 336
67971672 336
67971688 296
67971840 408
67971936 416
67971984 304
67972000 264
67972008 264
67972248 1136
67972264 1384
67972288 1336
67972352 1064
67973312 72
67973384 360
67973416 360
67973472 16
67973488 96
67973584 16
67973600 8
67973624 1488
67973648 1176
67973744 424
67973776 416
67974168 136
67974192 104
67974824 1464
67975112 616
67975728 1496
67976288 1440
67977224 584
67977728 568
67977808 624
67978432 64
67978512 1312
67979824 1408
67981232 624
67981856 1392
67983232 3792
67983240 288
67983248 640
67983528 280
67983808 32
67983840 392
67983888 648
67984232 48
67984280 32
67984328 352
67984536 64
67984680 336
67985016 32
67985048 312
67985192 16
67985360 32
67985376 56
67985384 8
67985392 40
67985400 8
67985408 8
67985416 8
67985424 8
67985440 992
67986432 1008
67987440 408
67987848 1136
67988984 360
67989344 424
67989768 136
67990448 3744
67990504 56
67990560 56
67990616 56
67990672 56
67990728 56
67990784 56
67990840 56
67990896 56
67991792 16
67996272 16
67996288 16
67996304 16
67996320 16
67996336 16
67996352 16
67996368 16
67996384 16
67996400 16
67996928 16
67996960 1312
67998352 1392
67998432 8
67999888 8
68000448 1432
68001264 16
68002336 16
68008504 144
68008648 72
68008664 144
68008720 168
68008808 72
68008880 168
68008888 120
68008984 8
68008992 16
68009008 32
68009016 8
68009024 24
68009040 104
68009048 120
68009080 8
68009088 8
68009096 8
68009104 8
68009112 8
68009120 8
68009128 8
68009136 8
68009144 48
68009168 32
68009192 176
68009200 104
68009304 48
68009352 176
68009368 144
68009512 24
68009528 144
68009536 120
68009656 96
68009672 24
68009696 120
68009752 16
68009768 48
68009816 96
68009848 72
68009912 16
68009920 32
68009928 48
68009952 32
68009976 32
68009984 32
68010008 72
68010080 32
68010112 32
68010144 32
68010192 144
68010336 72
68010408 168
68010576 120
68010696 32
68010728 104
68010832 48
68010880 176
68011056 144
68011200 24
68011224 120
68011344 96
68011440 16
68011456 48
68011504 32
68011536 72
68011608 32
68011640 32
68011672 32
68011856 8
68016128 8
68018208 16
68020616 16
68021168 16
68021184 16
68021200 16
68021216 16
68021232 16
68021248 16
68021264 16
68021520 56
68021528 8
